Product Name,Product URL,Brand,Sale Price,Mrp,Discount Percentage,Number Of Ratings,Number Of Reviews,Upc,Star Rating,Ram
"ViVO V20 SE (Aquamarine Green, 128 GB)",https://www.flipkart.com/vivo-v20-se-aquamarine-green-128-gb/p/itm5e8ddfe992958?pid=MOBFWRGKKPUGMQXQ,ViVO,19990,24990,20,3765,287,MOBFWRGKKPUGMQXQ,4.3,8 GB
"ViVO V20 SE (Gravity Black, 128 GB)",https://www.flipkart.com/vivo-v20-se-gravity-black-128-gb/p/itm5e8ddfe992958?pid=MOBFWRGKNZV5JCRY,ViVO,19990,24990,20,3765,287,MOBFWRGKNZV5JCRY,4.3,8 GB
"Itel A48 (Gradation Green, 32 GB)",https://www.flipkart.com/itel-a48-gradation-green-32-gb/p/itm11a32cb5b94af?pid=MOBFWTG2NMBP3JCS,Itel,6090,6090,0,228,17,MOBFWTG2NMBP3JCS,3.9,2 GB
"Itel A48 (Gradation Green, 32 GB)",https://www.flipkart.com/itel-a48-gradation-green-32-gb/p/itm2022796900682?pid=MOBFWTGDQUNCCXU9,Itel,6090,6099,0,228,17,MOBFWTGDQUNCCXU9,3.9,2 GB
"OPPO F17 PRO (Gold, 128 GB)",https://www.flipkart.com/oppo-f17-pro-gold-128-gb/p/itm1da1a6d7230e9?pid=MOBFWTKZAGDNAZAJ,OPPO,21999,21999,0,7708,588,MOBFWTKZAGDNAZAJ,4.4,8 GB
"Itel A48 (Gradation Purple, 32 GB)",https://www.flipkart.com/itel-a48-gradation-purple-32-gb/p/itm11a32cb5b94af?pid=MOBFWW4P7J9TWZAW,Itel,6089,6089,0,228,17,MOBFWW4P7J9TWZAW,3.9,2 GB
"GIONEE F8 Neo (Blue, 32 GB)",https://www.flipkart.com/gionee-f8-neo-blue-32-gb/p/itm0b5a98f9064b5?pid=MOBFWXY6FA8SDGT8,GIONEE,5199,5199,0,530,44,MOBFWXY6FA8SDGT8,3.8,2 GB
"GIONEE F8 Neo (Black, 32 GB)",https://www.flipkart.com/gionee-f8-neo-black-32-gb/p/itm0b5a98f9064b5?pid=MOBFWXY6FBGKGG7W,GIONEE,5199,5199,0,530,44,MOBFWXY6FBGKGG7W,3.8,2 GB
"OPPO A15 (Dynamic Black, 32 GB)",https://www.flipkart.com/oppo-a15-dynamic-black-32-gb/p/itm227feb7ae22b8?pid=MOBFWY2MGPHMGSEX,OPPO,9495,9495,0,251,11,MOBFWY2MGPHMGSEX,4.3,3 GB
"realme 7 Pro (Sun Kissed Leather, 128 GB)",https://www.flipkart.com/realme-7-pro-sun-kissed-leather-128-gb/p/itm72f96fb9b13c3?pid=MOBFWYZ42MZRP57F,realme,20999,20999,0,74499,7635,MOBFWYZ42MZRP57F,4.4,6 GB
